nombre,costo,precio
Ejemplo ficticio: Organizador de cocina expandible,8.50,29.99
Ejemplo ficticio: Botella deportiva térmica,11.25,34.99
Ejemplo ficticio: Lámpara LED de escritorio,15.00,49.99
Ejemplo ficticio: Soporte ajustable para laptop,18.00,44.99
Ejemplo ficticio: Mouse inalámbrico ergonómico,9.50,27.99
Ejemplo ficticio: Tapete grande para escritorio,6.00,22.99
Ejemplo ficticio: Organizador magnético de cables,3.25,15.99
Ejemplo ficticio: Cargador USB-C compacto,13.50,39.99
Ejemplo ficticio: Set de recipientes herméticos,17.00,45.99
Ejemplo ficticio: Dispensador de jabón automático,12.00,32.99
Ejemplo ficticio: Almohada cervical de viaje,10.50,28.99
Ejemplo ficticio: Kit de bandas de resistencia,7.75,24.99
Ejemplo ficticio: Rodillo de masaje muscular,14.00,36.99
Ejemplo ficticio: Organizador de maquillaje giratorio,9.00,31.99
Ejemplo ficticio: Espejo LED portátil,16.50,42.99
Ejemplo ficticio: Cepillo reutilizable para mascotas,5.25,18.99
Ejemplo ficticio: Cama plegable para mascota,22.00,47.99
Ejemplo ficticio: Juguete interactivo para gato,6.50,21.99
Ejemplo ficticio: Macetas de autorriego set,12.75,35.99
Ejemplo ficticio: Luces solares para jardín,18.50,46.99
Ejemplo ficticio: Guantes de jardinería reforzados,4.75,16.99
Ejemplo ficticio: Bolsa organizadora para automóvil,11.00,30.99
Ejemplo ficticio: Soporte magnético para teléfono,5.50,19.99
Ejemplo ficticio: Compresor portátil para neumáticos,28.00,64.99
Ejemplo ficticio: Kit de limpieza para teclado,4.25,17.99
Ejemplo ficticio: Webcam con cubierta de privacidad,19.50,48.99
Ejemplo ficticio: Hub USB-C multipuerto,24.00,59.99
Ejemplo ficticio: Funda acolchada para tablet,8.00,26.99
Ejemplo ficticio: Planificador semanal magnético,5.75,20.99
Ejemplo ficticio: Etiquetadora térmica portátil,26.00,62.99
Ejemplo ficticio: Mini selladora de bolsas,3.50,14.99
Ejemplo ficticio: Báscula digital de cocina,9.25,27.99
Ejemplo ficticio: Espumador eléctrico de leche,6.75,23.99
Ejemplo ficticio: Molde de silicona para freidora,4.50,16.99
Ejemplo ficticio: Estante esquinero para ducha,13.00,37.99
Ejemplo ficticio: Toallas de microfibra paquete,7.00,22.99
Ejemplo ficticio: Caja organizadora de medicamentos,5.00,18.99
Ejemplo ficticio: Candado portátil para viaje,8.75,25.99
Ejemplo ficticio: Set de cubos organizadores de equipaje,14.50,38.99
Ejemplo ficticio: Paraguas compacto antiviento,12.25,33.99
